Name,Enabled,Database,Type,Label,Short label,Coalition,Era,Can target point,Can rearm,Acquisition range [m],Engagement range [m],Description,Abilities (comma separate values),Notes,ChatGPT description
generator_5i57,yes,Ground Unit,Unarmed,Diesel Power Station 5I57A,Diesel Power Station 5I57A,,,no,no,0,0,,,,Diesel Power Station 5I57A: Mobile diesel power station used for electricity generation.
Gepard,yes,Ground Unit,AAA,Gepard,Gepard,blue,Late Cold War,yes,no,15000,4000,Tracked self-propelled anti-aircraft 35mm guns,,"65 km/h road, Range 3km",Gepard: German anti-aircraft tank designed to protect armored formations.
German_covered_wagon_G10,no,Ground Unit,Carriage,Wagon G10 (Germany),Wagon G10 (Germany),,,no,no,0,0,,,,Wagon G10 (Germany): German railway wagon for transporting goods.
German_tank_wagon,no,Ground Unit,Carriage,Tank Car (Germany),Tank Car (Germany),,,no,no,0,0,,,,Tank Car (Germany): German railway tank car for transporting liquids.
Grad_FDDM,yes,Ground Unit,Artillery,Grad MRL FDDM (FC),Grad MRL FDDM (FC),,,yes,no,0,1000,,,,Grad MRL FDDM (FC): Multiple rocket launcher system with fire direction and control module.
Grad-URAL,yes,Ground Unit,Unarmed,Grad,Grad,red,Mid Cold War,no,no,0,19000,"Military truck, single axle, open cargo bay. wheeled",,"80 km/h, Rearms ground units of same coaltion?",Grad: Multiple rocket launcher system capable of delivering devastating firepower.
Hawk cwar,yes,Ground Unit,SAM Search Radar,Hawk Continous Wave Acquisition Radar,Hawk cwar,blue,Early Cold War,no,no,70000,0,Hawk site Aquisition Radar,,70km range,"Hawk Continuous Wave Acquisition Radar: Part of the Hawk air defense system, used for target acquisition."
Hawk ln,yes,Ground Unit,SAM Launcher,Hawk Launcher,Hawk ln,blue,Late Cold War,no,no,0,45000,Hawk site missile laucher. 3 missiles. Needs rest of site to fuction,,,Hawk Launcher: Mobile launcher for the Hawk surface-to-air missile system.
Hawk pcp,yes,Ground Unit,SAM Support vehicle,Hawk Platoon Command Post,Hawk pcp,blue,Late Cold War,no,no,0,0,Hawk site command post. Medium sized trailer.,,,Hawk Platoon Command Post: Command and control center for the Hawk air defense system.
Hawk SAM Battery,yes,Ground Unit,SAM Site,Hawk SAM Battery,Hawk SAM Battery,blue,Early Cold War,no,no,90000,0,Multiple unit SAM site,,"25nm range, >50,000ft alititude",Hawk SAM Battery: Surface-to-air missile system providing air defense capabilities.
Hawk sr,yes,Ground Unit,SAM Search Radar,Hawk Search Radar,Hawk sr,blue,Early Cold War,no,no,90000,0,Hawk site search Radar. Medium sized trailer,,,Hawk Search Radar: Radar system used in conjunction with the Hawk air defense system.
Hawk tr,yes,Ground Unit,SAM Track Radar,Hawk Track Radar,Hawk tr,blue,Early Cold War,no,no,90000,0,Hawk site track Radar. Medium sized trailer,,,Hawk Track Radar: Radar system used for tracking targets in the Hawk air defense system.
HEMTT TFFT,yes,Ground Unit,Unarmed,HEMTT TFFT,HEMTT TFFT,blue,Late Cold War,no,no,0,0,"Military truck, 2 axle, firefigther. wheeled",,40kn on road,HEMTT TFFT: Heavy Expanded Mobility Tactical Truck used for transport and logistics.
HL_B8M1,yes,Ground Unit,Artillery,MLRS HL with B8M1 80mm,MLRS HL with B8M1 80mm,,,yes,no,5000,5000,,,,MLRS HL with B8M1 80mm: Self-propelled multiple rocket launcher system with 80mm rockets.
HL_DSHK,yes,Ground Unit,Armoured Car,Scout HL with DSHK 12.7mm,Scout HL with DSHK 12.7mm,,,yes,no,5000,1200,,,,Scout HL with DSHK 12.7mm: Scout vehicle with a mounted DShK heavy machine gun.
HL_KORD,yes,Ground Unit,Armoured Car,Scout HL with KORD 12.7mm,Scout HL with KORD 12.7mm,,,yes,no,5000,1200,,,,Scout HL with KORD 12.7mm: Scout vehicle with a mounted KORD heavy machine gun.
HL_ZU-23,yes,Ground Unit,AAA,SPAAA HL with ZU-23,SPAAA HL with ZU-23,,,yes,no,5000,2500,,,,SPAAA HL with ZU-23: Self-propelled anti-aircraft artillery with dual ZU-23 autocannons.
Horch_901_typ_40_kfz_21,yes,Ground Unit,Unarmed,LUV Horch 901 Staff Car,LUV Horch 901 Staff Car,,,no,no,0,0,,,,LUV Horch 901 Staff Car: German military staff car.
house1arm,yes,Ground Unit,Structure,house1arm,house1arm,,,no,no,0,800,,,,house1arm: Fortified building with additional armor.
house2arm,yes,Ground Unit,Structure,house2arm,house2arm,,,no,no,0,800,,,,house2arm: Fortified building with additional armor.
houseA_arm,yes,Ground Unit,Structure,houseA_arm,houseA_arm,,,no,no,0,800,,,,houseA_arm: Fortified building with additional armor.
HQ-7_LN_EO,yes,Ground Unit,SAM Track Radar,HQ-7 LN Electro-Optics,HQ-7 LN Electro-Optics,,,no,no,8000,12000,,,,HQ-7 LN Electro-Optics: Chinese air defense system with electro-optical tracking.
HQ-7_LN_SP,yes,Ground Unit,SAM Launcher,HQ-7 Self-Propelled LN,HQ-7 Self-Propelled LN,,,no,no,15000,15000,,,,HQ-7 Self-Propelled LN: Chinese self-propelled air defense system.
HQ-7_STR_SP,yes,Ground Unit,SAM Track Radar,HQ-7 Self-Propelled STR,HQ-7 Self-Propelled STR,,,no,no,30000,0,,,,HQ-7 Self-Propelled STR: Chinese air defense system with Radar tracking.
Hummer,yes,Ground Unit,Armoured Car,Hummer,Hummer,blue,Mid Cold War,no,no,0,0,"Military car, single axle, wheeled",,113 km/h road,"Hummer: Versatile military vehicle used for various purposes, including transport and reconnaissance."
hy_launcher,yes,Ground Unit,Missile system,AShM SS-N-2 Silkworm,AShM SS-N-2 Silkworm,,,yes,no,100000,100000,,,,AShM SS-N-2 Silkworm: Soviet anti-ship missile system.
Igla manpad INS,yes,Ground Unit,MANPADS,SA-18 Igla manpad INS,Igla manpad INS,red,Late Cold War,no,no,5000,5200,9K38/SA-18 Man portable air defence. Heatseaker,,"5,2km range, 3,5km altitude","SA-18 Igla manpad INS: Portable, man-portable air defense system designed for infantry use."
IKARUS Bus,yes,Ground Unit,Unarmed,IKARUS Bus,IKARUS Bus,red,Mid Cold War,no,no,0,0,Civilian Bus. Yellow. Bendy bus,,80km/h road,IKARUS Bus: Military transport bus used for troop movement.
Infantry AK,yes,Ground Unit,Infantry,Infantry AK,Infantry AK,red,Mid Cold War,yes,no,0,500,Single infantry carrying AK-74,,8kn max speed,"Infantry AK: Standard issue assault rifle for infantry, known for its reliability and firepower."
Infantry AK Ins,yes,Ground Unit,Infantry,Insurgent AK-74,Insurgent AK-74,,,yes,no,0,500,,,,Insurgent AK-74: Variant of the AK-74 rifle used by insurgent forces.
Infantry AK ver2,yes,Ground Unit,Infantry,Infantry AK-74 Rus ver2,Infantry AK-74 Rus ver2,,,yes,no,0,500,,,,Infantry AK-74 Rus ver2: Variant of the AK-74 rifle used by Russian infantry.
Infantry AK ver3,yes,Ground Unit,Infantry,Infantry AK-74 Rus ver3,Infantry AK-74 Rus ver3,,,yes,no,0,500,,,,Infantry AK-74 Rus ver3: Variant of the AK-74 rifle used by Russian infantry.
Infantry Animated,yes,Ground Unit,Infantry,Infantry,Infantry,,,yes,no,0,500,,,,Infantry: Standard infantry equipped for ground combat.
Jagdpanther_G1,no,Ground Unit,Tank,Self Propelled Gun Jagdpanther TD,Self Propelled Gun Jagdpanther TD,,,yes,no,0,5000,,,,Self Propelled Gun Jagdpanther TD: German tank destroyer based on the Panther chassis.
JagdPz_IV,no,Ground Unit,Tank,Self Propelled Gun Jagdpanzer IV TD,Self Propelled Gun Jagdpanzer IV TD,,,yes,no,0,3000,,,,Self Propelled Gun Jagdpanzer IV TD: German tank destroyer based on the Panzer IV chassis.
JTAC,yes,Ground Unit,Infantry,JTAC,JTAC,,,no,no,0,0,,,,JTAC: Joint Terminal Attack Controller responsible for coordinating air support.
KAMAZ Truck,yes,Ground Unit,Unarmed,KAMAZ Truck,KAMAZ Truck,red,Mid Cold War,no,yes,0,0,"Military truck, 2 axle, wheeled",,"Rearms ground units of same coaltion, 85 km/h on road,",KAMAZ Truck: Russian military truck used for various logistical purposes.
KDO_Mod40,no,Ground Unit,AAA,AAA Kdo.G.40,AAA Kdo.G.40,,,yes,no,30000,0,,,,AAA Kdo.G.40: German mobile anti-aircraft command vehicle.
KrAZ6322,yes,Ground Unit,Unarmed,Truck KrAZ-6322 6x6,Truck KrAZ-6322 6x6,,,no,yes,0,0,,,,Truck KrAZ-6322 6x6: Ukrainian military truck used for various logistical purposes.
KS-19,yes,Ground Unit,AAA,AAA KS-19 100mm,AAA KS-19 100mm,,,yes,no,0,20000,,,,AAA KS-19 100mm: Soviet towed anti-aircraft gun with a 100mm caliber.
Kub 1S91 str,yes,Ground Unit,SAM Search/Track Radar,SA-6 Straight flush,Kub 1S91 str,red,Mid Cold War,no,no,70000,0,"SA-6/Kub search and track Radar, tracked.",,"75km detection, 28km tracking, 44 km/h on road",SA-6 Straight flush: Soviet mobile surface-to-air missile system with Radar guidance.
Kub 2P25 ln,yes,Ground Unit,SAM Launcher,SA-6 Launcher,Kub 2P25 ln,red,Late Cold War,no,no,0,25000,SA-6/Kub launcher. 3 missiles. Tracked. Needs rest of site to function,,"24km range 14km altitude, 44 km/h on road",SA-6 Launcher: Mobile launcher for the SA-6 Straight flush surface-to-air missile system.
Kubelwagen_82,yes,Ground Unit,Unarmed,LUV Kubelwagen Jeep,LUV Kubelwagen Jeep,,,no,no,0,0,,,,LUV Kubelwagen Jeep: German military vehicle used for reconnaissance.
Land_Rover_101_FC,yes,Ground Unit,Unarmed,Truck Land Rover 101 FC,Truck Land Rover 101 FC,,,no,no,0,0,,,,Truck Land Rover 101 FC: Military truck based on the Land Rover platform.
Land_Rover_109_S3,yes,Ground Unit,Unarmed,LUV Land Rover 109,LUV Land Rover 109,,,no,no,0,0,,,,LUV Land Rover 109: Light utility vehicle based on the Land Rover platform.
LARC-V,yes,Ground Unit,Unarmed,LARC-V,LARC-V,,,no,no,500,0,,,,"LARC-V: Lighter Amphibious Resupply Cargo, amphibious cargo vehicle."
LAV-25,yes,Ground Unit,Infantry Fighting Vehicle,LAV-25,LAV-25,blue,Late Cold War,yes,no,0,2500,Infantry fighter vehicle. Wheeled. Amphibious,,"25mm gun, 7,62 gun, 100 km/h road, 9,6 km/h water",LAV-25: Light armored vehicle used for reconnaissance and security missions.
LAZ Bus,yes,Ground Unit,Unarmed,LAZ Bus,LAZ Bus,red,Early Cold War,no,no,0,0,Civilian bus. Single Axle. Wheeled,,80 km/h road,LAZ Bus: Military transport bus used for troop movement.
Leclerc,yes,Ground Unit,Tank,Leclerc,Leclerc,blue,Modern,yes,no,0,3500,Main battle tank. Tracked. Modern and heavily armoured.,,"120mm gun, 12,7mm gun, 72 km/h road",Leclerc: French main battle tank known for its advanced features and firepower.
LeFH_18-40-105,no,Ground Unit,Artillery,FH LeFH-18 105mm,FH LeFH-18 105mm,,,yes,no,0,10500,,,,FH LeFH-18 105mm: German towed field howitzer with a 105mm caliber.
Leopard-2,yes,Ground Unit,Tank,Leopard-2,Leopard-2,blue,Late Cold War,yes,no,0,3500,Main battle tank. Tracked. Modern and heavily armoured.,,"120mm gun, 7,62 mm gun x 2, 72 km/h road",Leopard-2: German main battle tank recognized for its high level of protection and mobility.
leopard-2A4,yes,Ground Unit,Tank,Tank Leopard-2A4,Tank Leopard-2A4,,,yes,no,0,3500,,,,Tank Leopard-2A4: Earlier version of the German Leopard 2 main battle tank.
leopard-2A4_trs,yes,Ground Unit,Tank,Tank Leopard-2A4 Trs,Tank Leopard-2A4 Trs,,,yes,no,0,3500,,,,Tank Leopard-2A4 Trs: Leopard 2 main battle tank with additional armor.
Leopard-2A5,yes,Ground Unit,Tank,Tank Leopard-2A5,Tank Leopard-2A5,,,yes,no,0,3500,,,,Tank Leopard-2A5: Upgraded version of the German Leopard 2 main battle tank.
Leopard1A3,yes,Ground Unit,Tank,Leopard1A3,Leopard1A3,blue,Mid Cold War,yes,no,0,2500,Main battle tank. Tracked. Heavily armoured.,,"105mm gun, 7,62 mm gun x 2, 65 km/h road",Leopard1A3: Earlier version of the German Leopard main battle tank series.
LiAZ Bus,yes,Ground Unit,Unarmed,Bus LiAZ-677,Bus LiAZ-677,,,no,no,0,0,,,,Bus LiAZ-677: Military transport bus used for troop movement.
Locomotive,yes,Ground Unit,Locomotive,Loco CHME3T,Loco CHME3T,,,no,no,0,0,,,,Loco CHME3T: Diesel-electric shunting locomotive.
M 818,yes,Ground Unit,Unarmed,M 818,M 818,blue,Early Cold War,no,yes,0,0,???,,,M 818: Military truck used for various logistical purposes.
M-1 Abrams,yes,Ground Unit,Tank,M-1 Abrams,M-1 Abrams,blue,Late Cold War,yes,no,0,3500,Main battle tank. Tracked. Modern and heavily armoured.,,"120mm gun, 12,7mm gun, 7,62 mm gun x 2, 66,7 km/h road","M-1 Abrams: Iconic U.S. main battle tank, known for its firepower and armor."
M-109,yes,Ground Unit,Artillery,M-109 Paladin,M-109,blue,Early Cold War,yes,no,0,22000,???,,,M-109 Paladin: Self-propelled howitzer used for artillery support.
M-113,yes,Ground Unit,Armoured Personnel Carrier,M-113,M-113,blue,Early Cold War,yes,no,0,1200,Armoured personnel carrier. Tracked. Amphibious,,"12,7mm gun, 60,7 km/h road, 5,8 km/h water",M-113: Armored personnel carrier used by various armed forces.
M-2 Bradley,yes,Ground Unit,Infantry Fighting Vehicle,M-2A2 Bradley,M-2 Bradley,blue,Late Cold War,yes,no,0,3800,Infantry fighting vehicle. Tracked.,,"ATGM, 100mm gun, 25mm gun, 7,62 gun, 66 km/h road",M-2A2 Bradley: Infantry fighting vehicle used by the U.S. Army.
M-60,yes,Ground Unit,Tank,M-60,M-60,blue,Early Cold War,yes,no,0,8000,Main battle tank. Tracked. Heavily armoured.,,"105mm gun, 12,7mm gun, 7,62 mm gun, 48 km/h road, 19 km/h off,",M-60: Main battle tank used by the United States and other countries.
M1_37mm,no,Ground Unit,AAA,AAA M1 37mm,AAA M1 37mm,,,yes,no,0,5700,,,,AAA M1 37mm: American towed anti-aircraft gun with a 37mm caliber.
M10_GMC,no,Ground Unit,Tank,Self Propelled Gun M10 GMC TD,Self Propelled Gun M10 GMC TD,,,yes,no,0,6000,,,,Self Propelled Gun M10 GMC TD: American tank destroyer based on the M4 Sherman chassis.
M1043 HMMWV Armament,yes,Ground Unit,Armoured Car,HMMWV M2 Browning,HMMWV M2,blue,Late Cold War,yes,no,0,1200,"Military car, single axle, wheeled",,"12,7mm gun, 113 km/h road",HMMWV M2 Browning: Humvee variant equipped with a heavy machine gun for firepower.
M1045 HMMWV TOW,yes,Ground Unit,Armoured Car,HMMWV TOW,HMMWV TOW,red,Late Cold War,yes,no,0,3800,"Military car, single axle, wheeled",,"ATGM, 113 km/h road",HMMWV TOW: Humvee variant equipped with TOW anti-tank missiles.
M1097 Avenger,yes,Ground Unit,SAM,M1097 Avenger,M1097 Avenger,blue,Modern,yes,no,5200,4500,"Military car, single axle, wheeled",,"Stinger SAM, 12,7mm gun, 113 km/h road",M1097 Avenger: Mobile air defense system based on the HMMWV platform.
M1126 Stryker ICV,yes,Ground Unit,Armoured Personnel Carrier,Stryker MG,Stryker MG,blue,Modern,yes,no,0,1200,Armoured personnel carrier. Wheeled.,,"12,7mm gun, 96 km/h road",Stryker MG: Infantry carrier vehicle with a mounted machine gun for support.
M1128 Stryker MGS,yes,Ground Unit,Self Propelled Gun,M1128 Stryker MGS,M1128 Stryker MGS,blue,Modern,yes,no,0,4000,Self propelled gun. Wheeled.,,"105mm gun, 7,62mm gun, 96 km/h road",M1128 Stryker MGS: Mobile gun system variant of the Stryker used for fire support.
M1134 Stryker ATGM,yes,Ground Unit,Armoured Personnel Carrier,Stryker ATGM,Stryker ATGM,blue,Modern,yes,no,0,3800,Armoured personnel carrier. Wheeled.,,"ATGM, 12,7mm gun, 96 km/h road",Stryker ATGM: Stryker variant equipped with anti-tank guided missiles.
M12_GMC,no,Ground Unit,Artillery,SPH M12 GMC 155mm,SPH M12 GMC 155mm,,,yes,no,0,18300,,,,SPH M12 GMC 155mm: American self-propelled howitzer with a 155mm gun.
M2A1_halftrack,yes,Ground Unit,Armoured Personnel Carrier,Armoured Personnel Carrier M2A1 Halftrack,Armoured Personnel Carrier M2A1 Halftrack,,,yes,no,0,1200,,,,Armoured Personnel Carrier M2A1 Halftrack: Armored personnel carrier with both tracks and wheels.
M2A1-105,no,Ground Unit,Artillery,FH M2A1 105mm,FH M2A1 105mm,,,yes,no,0,11500,,,,FH M2A1 105mm: American towed field howitzer with a 105mm caliber.
M30_CC,no,Ground Unit,Unarmed,Ammo M30 Cargo Carrier,Ammo M30 Cargo Carrier,,,no,no,0,1200,,,,Ammo M30 Cargo Carrier: Ammunition carrier used for transporting artillery ammunition.
M4_Sherman,yes,Ground Unit,Tank,Tk M4 Sherman,Tk M4 Sherman,,,yes,no,0,3000,,,,Tk M4 Sherman: American medium tank used during World War II.
M4_Tractor,no,Ground Unit,Unarmed,Tractor M4 High Speed,Tractor M4 High Speed,,,no,no,0,1200,,,,Tractor M4 High Speed: American high-speed tractor used for towing artillery.
M45_Quadmount,no,Ground Unit,AAA,AAA M45 Quadmount HB 12.7mm,AAA M45 Quadmount HB 12.7mm,,,yes,no,0,1500,,,,AAA M45 Quadmount HB 12.7mm: American anti-aircraft weapon with four 12.7mm machine guns.
M48 Chaparral,yes,Ground Unit,SAM,M48 Chaparral,M48 Chaparral,blue,Late Cold War,no,no,10000,8500,,,,M48 Chaparral: Surface-to-air missile system mounted on a tracked vehicle.
M4A4_Sherman_FF,no,Ground Unit,Tank,Tk M4A4 Sherman Firefly,Tk M4A4 Sherman Firefly,,,yes,no,0,3000,,,,Tk M4A4 Sherman Firefly: British modified version of the M4 Sherman tank with a 17-pounder gun.
M6 Linebacker,yes,Ground Unit,SAM,M6 Linebacker,M6 Linebacker,blue,Late Cold War,no,no,8000,4500,,,,M6 Linebacker: Anti-aircraft variant of the M2 Bradley infantry fighting vehicle.
M8_Greyhound,no,Ground Unit,Armoured Car,Scout M8 Greyhound AC,Scout M8 Greyhound AC,,,yes,no,0,2000,,,,Scout M8 Greyhound AC: American armored car used for reconnaissance.
M978 HEMTT Tanker,yes,Ground Unit,Unarmed,M978 HEMTT Tanker,M978 HEMTT Tanker,blue,Mid Cold War,no,no,0,0,,,,M978 HEMTT Tanker: Heavy Expanded Mobility Tactical Truck used for fuel transportation.
Marder,yes,Ground Unit,Infantry Fighting Vehicle,Marder,Marder,blue,Late Cold War,yes,no,0,1500,,,,Marder: German infantry fighting vehicle used by the German Army.
Maschinensatz_33,no,Ground Unit,AAA,Maschinensatz 33 Gen,Maschinensatz 33 Gen,,,yes,no,0,0,,,,Maschinensatz 33 Gen: German power generator.
MAZ-6303,yes,Ground Unit,Unarmed,MAZ-6303,MAZ-6303,red,Mid Cold War,no,no,0,0,,,,MAZ-6303: Soviet/Russian military truck used for various logistical purposes.
MCV-80,yes,Ground Unit,Infantry Fighting Vehicle,Warrior Infantry Fighting Vehicle,Warrior,blue,Late Cold War,yes,no,0,2500,,,,Warrior Infantry Fighting Vehicle: British infantry fighting vehicle known for its versatility and protection.
Merkava_Mk4,yes,Ground Unit,Tank,Tank Merkava IV,Tank Merkava IV,,,yes,no,0,3500,,,,Tank Merkava IV: Israeli main battle tank known for its advanced features and protection.
MLRS,yes,Ground Unit,Rocket Artillery,M270,M270,blue,Late Cold War,yes,no,0,32000,,,,M270: Multiple rocket launcher system capable of launching various types of rockets.
MLRS FDDM,yes,Ground Unit,Artillery,MRLS FDDM (FC),MRLS FDDM (FC),,,yes,no,0,1200,,,,MRLS FDDM (FC): Multiple rocket launcher system with fire direction and control module.
MTLB,yes,Ground Unit,Armoured Personnel Carrier,MT-LB,MT-LB,red,Mid Cold War,yes,no,0,1000,,,,MT-LB: Soviet multi-purpose tracked vehicle used for troop transport and logistics.
NASAMS_Command_Post,yes,Ground Unit,SAM Support vehicle,SAM NASAMS C2,SAM NASAMS C2,,,no,no,0,0,,,,SAM NASAMS C2: Command and control system for the NASAMS surface-to-air missile system.
NASAMS_LN_B,yes,Ground Unit,SAM Launcher,SAM NASAMS LN AIM-120B,SAM NASAMS LN AIM-120B,,,no,no,0,15000,,,,SAM NASAMS LN AIM-120B: Launcher unit for the NASAMS surface-to-air missile system with AIM-120B missiles.
NASAMS_LN_C,yes,Ground Unit,SAM Launcher,SAM NASAMS LN AIM-120C,SAM NASAMS LN AIM-120C,,,no,no,0,15000,,,,SAM NASAMS LN AIM-120C: Launcher unit for the NASAMS surface-to-air missile system with AIM-120C missiles.
NASAMS_radar_MPQ64F1,yes,Ground Unit,SAM Search Radar,SAM NASAMS SR MPQ64F1,SAM NASAMS SR MPQ64F1,,,no,no,50000,0,,,,SAM NASAMS SR MPQ64F1: Surface-to-air missile system with Radar guidance.
Osa 9A33 ln,yes,Ground Unit,SAM Launcher,SA-8 Launcher,Osa 9A33 ln,red,Mid Cold War,no,no,30000,10300,,,,SA-8 Launcher: Mobile launcher for the SA-8 Gecko surface-to-air missile system.
outpost,yes,Ground Unit,Structure,outpost,outpost,,,no,no,0,800,,,,outpost: Military outpost for surveillance and control.
outpost_road,yes,Ground Unit,Structure,outpost_road,outpost_road,,,no,no,0,800,,,,outpost_road: Military outpost with a roadblock.
p-19 s-125 sr,yes,Ground Unit,SAM Search Radar,SA-3 Flat Face B,Flat Face B,red,Mid Cold War,no,no,160000,0,,,,SA-3 Flat Face B: Mobile Radar system used in conjunction with the SA-3 Goa air defense system.
Pak40,no,Ground Unit,Artillery,FH Pak 40 75mm,FH Pak 40 75mm,,,yes,no,0,3000,,,,FH Pak 40 75mm: German towed anti-tank gun with a 75mm caliber.
Paratrooper AKS-74,yes,Ground Unit,Infantry,Paratrooper AKS-74,Paratrooper AKS-74,red,Modern,yes,no,0,500,,,,Paratrooper AKS-74: Modified version of the AK-74 for use by airborne forces.
Paratrooper RPG-16,yes,Ground Unit,Infantry,Paratrooper RPG-16,Paratrooper RPG-16,red,Modern,yes,no,0,500,,,,Paratrooper RPG-16: Anti-tank rocket launcher used by airborne forces.
Patriot AMG,yes,Ground Unit,SAM Support vehicle,Patriot Antenna Mast Group,Patriot AMG,blue,Modern,no,no,0,0,,,,"Patriot Antenna Mast Group: Part of the Patriot missile system, used for communication."
Patriot cp,yes,Ground Unit,SAM Support vehicle,Patriot Command Post,Patriot cp,blue,Late Cold War,no,no,0,0,,,,Patriot Command Post: Mobile command post for the Patriot missile system.
Patriot ECS,yes,Ground Unit,SAM Support vehicle,Patriot Engagement Control Station,Patriot ECS,blue,Modern,no,no,0,0,,,,Patriot Engagement Control Station: Command and control center for the Patriot missile system.
Patriot EPP,yes,Ground Unit,SAM Support vehicle,Patriot Electric Power Plant,Patriot EPP,blue,Late Cold War,no,no,0,0,,,,Patriot Electric Power Plant: Power generation unit for the Patriot missile system.
Patriot ln,yes,Ground Unit,SAM Launcher,Patriot Launcher,Patriot ln,blue,Late Cold War,no,no,0,100000,,,,Patriot Launcher: Mobile launcher for the Patriot surface-to-air missile system.
Patriot site,yes,Ground Unit,SAM Site,Patriot site,Patriot site,blue,Late Cold War,no,no,160000,0,,,,Patriot site: Operational site for the Patriot missile system.
Patriot str,yes,Ground Unit,SAM Search/Track Radar,Patriot Search/Track Radar,Patriot str,blue,Late Cold War,no,no,160000,0,,,,Patriot Search/Track Radar: Radar system used for target tracking in the Patriot missile system.
PLZ05,yes,Ground Unit,Artillery,PLZ-05,PLZ-05,,,yes,no,0,23500,,,,PLZ-05: Chinese self-propelled howitzer with a 155mm gun.
Predator GCS,yes,Ground Unit,Unarmed,Predator GCS,Predator GCS,blue,Late Cold War,no,no,0,0,,,,Predator GCS: Ground Control Station for the MQ-1 Predator unmanned aerial vehicle.
Predator TrojanSpirit,yes,Ground Unit,Unarmed,Predator TrojanSpirit,Predator TrojanSpirit,blue,Late Cold War,no,no,0,0,,,,Predator TrojanSpirit: Electronic warfare system used for intelligence and reconnaissance.
PT_76,yes,Ground Unit,Tank,LT PT-76,LT PT-76,,,yes,no,0,2000,,,,LT PT-76: Soviet amphibious light tank used for reconnaissance.
Pz_IV_H,yes,Ground Unit,Tank,Tk PzIV H,Tk PzIV H,,,yes,no,0,3000,,,,Tk PzIV H: German medium tank used during World War II.
Pz_V_Panther_G,no,Ground Unit,Tank,Tk Panther G (Pz V),Tk Panther G (Pz V),,,yes,no,0,3000,,,,Tk Panther G (Pz V): German medium tank used during World War II.
QF_37_AA,no,Ground Unit,AAA,"AAA QF 3.7""","AAA QF 3.7""",,,yes,no,0,9000,,,,"AAA QF 3.7"": British anti-aircraft gun with a 3.7-inch caliber."
rapier_fsa_blindfire_radar,yes,Ground Unit,SAM Track Radar,SAM Rapier Blindfire TR,SAM Rapier Blindfire TR,,,no,no,30000,0,,,,SAM Rapier Blindfire TR: Vehicle used for target acquisition in the Rapier air defense system.
rapier_fsa_launcher,yes,Ground Unit,SAM Launcher,SAM Rapier LN,SAM Rapier LN,,,no,no,30000,6800,,,,SAM Rapier LN: Self-propelled anti-aircraft missile system with Radar guidance.
rapier_fsa_optical_tracker_unit,yes,Ground Unit,SAM Track Radar,SAM Rapier Tracker,SAM Rapier Tracker,,,no,no,20000,0,,,,SAM Rapier Tracker: Vehicle used for tracking targets in the Rapier air defense system.
RD_75,yes,Ground Unit,EW Radar,SAM SA-2 S-75 RD-75 Amazonka RF,SAM SA-2 S-75 RD-75 Amazonka RF,,,no,no,100000,0,,,,SAM SA-2 S-75 RD-75 Amazonka RF: Soviet surface-to-air missile system with Amazonka RF Radar.
RLS_19J6,yes,Ground Unit,SAM Search Radar,SA-5 Thin Shield,RLS 19J6,Red,Mid Cold War,no,no,150000,0,,,,SA-5 Thin Shield: Soviet long-range surface-to-air missile system.
Roland ADS,yes,Ground Unit,SAM,Roland ADS,Roland ADS,blue,Late Cold War,no,no,12000,8000,,,,Roland ADS: Mobile short-range air defense system.
Roland radar,yes,Ground Unit,SAM Search Radar,Roland Search Radar,Roland Radar,blue,Mid Cold War,no,no,35000,0,,,,Roland Search Radar: Radar system used in conjunction with the Roland air defense system.
RPC_5N62V,yes,Ground Unit,SAM Track Radar,SA-5 Square Pair,RPC 5N62V,Red,Mid Cold War,no,no,400000,0,,,,SA-5 Square Pair: Mobile launcher for the SA-5 Thin Shield surface-to-air missile system.
S_75_ZIL,yes,Ground Unit,Unarmed,S-75 Tractor (ZIL-131),S-75 Tractor (ZIL-131),,,no,no,0,0,,,,S-75 Tractor (ZIL-131): Tractor used for transporting components of the S-75 surface-to-air missile system.
S_75M_Volhov,yes,Ground Unit,SAM Launcher,SA-2 Launcher,S75M Volhov,Red,Early Cold War,no,no,0,43000,,,,SA-2 Launcher: Mobile launcher for the SA-2 Guideline surface-to-air missile system.
S-200_Launcher,yes,Ground Unit,SAM Launcher,SA-5 Launcher,S-200 Launcher,Red,Mid Cold War,no,no,0,255000,,,,SA-5 Launcher: Mobile launcher for the SA-5 Thin Shield surface-to-air missile system.
S-300PS 40B6M tr,yes,Ground Unit,SAM Track Radar,SA-10 Tin Shield,S-300PS 40B6M tr,red,Late Cold War,no,no,160000,0,,,,SA-10 Tin Shield: Radar system used in conjunction with the SA-10 Grumble air defense system.
S-300PS 40B6MD sr,yes,Ground Unit,SAM Search Radar,SA-10 Clam Shell,S-300PS 40B6MD sr,red,Late Cold War,no,no,60000,0,,,,SA-10 Clam Shell: Mobile launcher for the SA-10 Grumble surface-to-air missile system.
S-300PS 54K6 cp,yes,Ground Unit,SAM Support vehicle,SA-10 Command Post,S-300PS 54K6 cp,red,Late Cold War,no,no,0,0,,,,SA-10 Command Post: Command and control center for the SA-10 Grumble air defense system.
